normalized_name,permalink
wetpaint,https://www.crunchbase.com/organization/wetpaint
friendfeed,https://www.crunchbase.com/organization/friendfeed
mobclix,https://www.crunchbase.com/organization/mobclix
fitbit,https://www.crunchbase.com/organization/fitbit
cardiosolutions,https://www.crunchbase.com/organization/cardiosolutions
wikinvest,https://www.crunchbase.com/organization/wikinvest
g2 web services,https://www.crunchbase.com/organization/g2-web-services
jumptap,https://www.crunchbase.com/organization/jumptap
youlicit,https://www.crunchbase.com/organization/youlicit
courion,https://www.crunchbase.com/organization/courion-corporation
birdpost,https://www.crunchbase.com/organization/birdpost
fairsoftware,https://www.crunchbase.com/organization/fairsoftware
amax global services,https://www.crunchbase.com/organization/amax-global-services
tingz,https://www.crunchbase.com/organization/tingz
gazelle,https://www.crunchbase.com/organization/gazelle
rev worldwide,https://www.crunchbase.com/organization/rev-worldwide
idenive,https://www.crunchbase.com/organization/idenive
sportsvite,https://www.crunchbase.com/organization/sportsvite
sidetour,https://www.crunchbase.com/organization/sidetour
chatid,https://www.crunchbase.com/organization/chatid
producteev,https://www.crunchbase.com/organization/producteev
twonq,https://www.crunchbase.com/organization/twonq
vestaron,https://www.crunchbase.com/organization/vestaron-corporation
tesaris,https://www.crunchbase.com/organization/tesaris
my best interest,https://www.crunchbase.com/organization/my-best-interest
goodguide,https://www.crunchbase.com/organization/goodguide
goplanit,https://www.crunchbase.com/organization/goplanit
c2fo,https://www.crunchbase.com/organization/pollenware
postpath,https://www.crunchbase.com/organization/postpath
jibjab,https://www.crunchbase.com/organization/jibjab
swype,https://www.crunchbase.com/organization/swype
zipidee,https://www.crunchbase.com/organization/zipidee
quant the news,https://www.crunchbase.com/organization/quant-the-news
introfly,https://www.crunchbase.com/organization/introfly
vgo communications,https://www.crunchbase.com/organization/vgo-communications
platfora,https://www.crunchbase.com/organization/platfora
mob ly,https://www.crunchbase.com/organization/mob-ly
angstro,https://www.crunchbase.com/organization/angstro
klatcher,https://www.crunchbase.com/organization/klatcher
playerduel,https://www.crunchbase.com/organization/playerduel
telespree,https://www.crunchbase.com/organization/telespree
happy inspector,https://www.crunchbase.com/organization/happy-inspector
liveprocess,https://www.crunchbase.com/organization/liveprocess-corp
usamp,https://www.crunchbase.com/organization/united-sample
spare change payments,https://www.crunchbase.com/organization/spare-change-payments
picateers,https://www.crunchbase.com/organization/picateers
winestyr,https://www.crunchbase.com/organization/winestyr
expert medical navigation,https://www.crunchbase.com/organization/expert-medical-navigation
ascension orthopedics,https://www.crunchbase.com/organization/ascension-orthopedics
whiskey media,https://www.crunchbase.com/organization/whiskey-media
balluun,https://www.crunchbase.com/organization/balluun
fitnesskeeper,https://www.crunchbase.com/organization/fitnesskeeper
voodoovox,https://www.crunchbase.com/organization/voodoovox
campaignercrm,https://www.crunchbase.com/organization/landslide-technologies
taprush,https://www.crunchbase.com/organization/taprush
tapnscrap,https://www.crunchbase.com/organization/tapnscrap
condodomain,https://www.crunchbase.com/organization/condodomain
abbott labs,https://www.crunchbase.com/organization/abbott
gis to,https://www.crunchbase.com/organization/gis-to
big stage,https://www.crunchbase.com/organization/big-stage
m files,https://www.crunchbase.com/organization/m-files
confabb,https://www.crunchbase.com/organization/confabb
punchh,https://www.crunchbase.com/organization/punchh
surphace,https://www.crunchbase.com/organization/sphere
rundown,https://www.crunchbase.com/organization/rundown
mimosa systems,https://www.crunchbase.com/organization/mimosa-systems
pingup,https://www.crunchbase.com/organization/pingup
motorator,https://www.crunchbase.com/organization/motorator
orderbolt,https://www.crunchbase.com/organization/orderbolt
uptake,https://www.crunchbase.com/organization/uptake
niveus medical,https://www.crunchbase.com/organization/niveus-medical
greenphire,https://www.crunchbase.com/organization/greenphire
reputation,https://www.crunchbase.com/organization/reputation-com
sellstage,https://www.crunchbase.com/organization/sellstage
personalis,https://www.crunchbase.com/organization/personalis
polyvore,https://www.crunchbase.com/organization/polyvore
buck,https://www.crunchbase.com/organization/billing-revolution
rootstock software,https://www.crunchbase.com/organization/rootstock-software
lolapps,https://www.crunchbase.com/organization/lolapps
roses rye,https://www.crunchbase.com/organization/roses-rye
credorax,https://www.crunchbase.com/organization/credorax
loosehead software,https://www.crunchbase.com/organization/loosehead-software
geodelic systems,https://www.crunchbase.com/organization/geodelic-systems
23andme,https://www.crunchbase.com/organization/23andme
connectbeam,https://www.crunchbase.com/organization/connectbeam
logogarden,https://www.crunchbase.com/organization/logogarden
wabeebwa,https://www.crunchbase.com/organization/wabeebwa
helpstream,https://www.crunchbase.com/organization/helpstream
treemo labs,https://www.crunchbase.com/organization/treemo-labs
penguin computing,https://www.crunchbase.com/organization/penguin-computing
simpirica spine,https://www.crunchbase.com/organization/simpirica-spine
expensify,https://www.crunchbase.com/organization/expensify-com
blurb,https://www.crunchbase.com/organization/blurb
pixelpipe,https://www.crunchbase.com/organization/pixelpipe
buildinglayer,https://www.crunchbase.com/organization/buildinglayer
scripped,https://www.crunchbase.com/organization/scripped
innerrewards,https://www.crunchbase.com/organization/innerrewards
automattic,https://www.crunchbase.com/organization/automattic
aventura hq,https://www.crunchbase.com/organization/aventura-hq
healthwyse,https://www.crunchbase.com/organization/healthwyse
zume life,https://www.crunchbase.com/organization/zume-life
ncircle network security,https://www.crunchbase.com/organization/ncircle-network-security
getfugu,https://www.crunchbase.com/organization/getfugu
the society,https://www.crunchbase.com/organization/the-society
tumblr,https://www.crunchbase.com/organization/tumblr
buzzd,https://www.crunchbase.com/organization/buzzd
ikano communications,https://www.crunchbase.com/organization/ikanos-communications
dealbase,https://www.crunchbase.com/organization/dealbase-corporation
cliqset,https://www.crunchbase.com/organization/cliqset
utest,https://www.crunchbase.com/organization/utest
intrinsic therapeutics,https://www.crunchbase.com/organization/intrinsic-therapeutics
cardiokinetix,https://www.crunchbase.com/organization/cardiokinetix
semantra,https://www.crunchbase.com/organization/semantra
tabup,https://www.crunchbase.com/organization/tabup
movoxx,https://www.crunchbase.com/organization/movoxx
startapp,https://www.crunchbase.com/organization/startapp
alice,https://www.crunchbase.com/organization/alice-com
chirp interactive,https://www.crunchbase.com/organization/chirp
gowalla,https://www.crunchbase.com/organization/gowalla
jackbe,https://www.crunchbase.com/organization/jackbe
altermune technologies,https://www.crunchbase.com/organization/altermune-technologies
bespoke global,https://www.crunchbase.com/organization/bespoke-global
onvantage,https://www.crunchbase.com/organization/onvantage
salesloft,https://www.crunchbase.com/organization/salesloft
echosign,https://www.crunchbase.com/organization/echosign
packettrap networks,https://www.crunchbase.com/organization/packettrap
bigfix,https://www.crunchbase.com/organization/bigfix
tastebook,https://www.crunchbase.com/organization/tastebook
buzzwire,https://www.crunchbase.com/organization/buzzwire
vertica systems,https://www.crunchbase.com/organization/vertica-systems
vivio,https://www.crunchbase.com/organization/tellmetwin
infinity pharmaceuticals,https://www.crunchbase.com/organization/infinity-pharmaceuticals
cityvoter,https://www.crunchbase.com/organization/cityvoter
big contacts,https://www.crunchbase.com/organization/bigcontacts
addmybest,https://www.crunchbase.com/organization/addmybest
groupon,https://www.crunchbase.com/organization/groupon
phoenix energy technologies,https://www.crunchbase.com/organization/phoenix-energy-technologies
gamewager,https://www.crunchbase.com/organization/gamewager
picapp,https://www.crunchbase.com/organization/picapp
localyte,https://www.crunchbase.com/organization/localyte-com
orderwithme,https://www.crunchbase.com/organization/orderwithme
seven networks,https://www.crunchbase.com/organization/seven
cramster,https://www.crunchbase.com/organization/cramster
buzzstream,https://www.crunchbase.com/organization/buzzstream
right90,https://www.crunchbase.com/organization/right90
big in japan,https://www.crunchbase.com/organization/big-in-japan
finsphere,https://www.crunchbase.com/organization/finsphere
spotplex,https://www.crunchbase.com/organization/spotplex
pearl,https://www.crunchbase.com/organization/pearl-com
health options worldwide,https://www.crunchbase.com/organization/health-options-worldwide
bitwine,https://www.crunchbase.com/organization/bitwineinc
stylefeeder,https://www.crunchbase.com/organization/stylefeeder-2
stamped,https://www.crunchbase.com/organization/stamped
wentworth technology,https://www.crunchbase.com/organization/wentworth-technology
mobivity,https://www.crunchbase.com/organization/mobivity
magnus health,https://www.crunchbase.com/organization/magnus-health-portal
myshape,https://www.crunchbase.com/organization/myshape
aoptix technologies,https://www.crunchbase.com/organization/aoptix-technologies
eyespot,https://www.crunchbase.com/organization/eyespot
kodiak networks,https://www.crunchbase.com/organization/kodiak-networks
familylink,https://www.crunchbase.com/organization/familylink
bundle it,https://www.crunchbase.com/organization/bundle-it
informed medical decisions,https://www.crunchbase.com/organization/informed-medical-decisions-inc
mnlakeplace,https://www.crunchbase.com/organization/mnlakeplace-com
avaak,https://www.crunchbase.com/organization/avaak
savings,https://www.crunchbase.com/organization/savings-com
eurekster,https://www.crunchbase.com/organization/eurekster
mindjet,https://www.crunchbase.com/organization/mindjet
gydget,https://www.crunchbase.com/organization/gydget
innercircuit,https://www.crunchbase.com/organization/innercircuit
propertybridge,https://www.crunchbase.com/organization/propertybridge
reframe it,https://www.crunchbase.com/organization/reframe-it
resoomay,https://www.crunchbase.com/organization/resoomay
baynote,https://www.crunchbase.com/organization/baynote
songbird,https://www.crunchbase.com/organization/songbird
folica,https://www.crunchbase.com/organization/folica
nexenta systems,https://www.crunchbase.com/organization/nexenta-systems
acesis,https://www.crunchbase.com/organization/acesis
xtify,https://www.crunchbase.com/organization/xtify
netcontinuum,https://www.crunchbase.com/organization/netcontinuum
vinfolio,https://www.crunchbase.com/organization/vinfolio
britely,https://www.crunchbase.com/organization/britely
sentrigo,https://www.crunchbase.com/organization/sentrigo
exacttarget,https://www.crunchbase.com/organization/exacttarget
disqus,https://www.crunchbase.com/organization/disqus
chloe isabel,https://www.crunchbase.com/organization/chloe-isabel
dubmenow,https://www.crunchbase.com/organization/dubmenow
lift worldwide,https://www.crunchbase.com/organization/lift-worldwide
sezwho,https://www.crunchbase.com/organization/sezwho
siri,https://www.crunchbase.com/organization/siri
bcontext,https://www.crunchbase.com/organization/bnapkin
mblast,https://www.crunchbase.com/organization/mblast
websense,https://www.crunchbase.com/organization/websense
fattail,https://www.crunchbase.com/organization/fattail
coghead,https://www.crunchbase.com/organization/coghead
webtab,https://www.crunchbase.com/organization/webtab
groupcard,https://www.crunchbase.com/organization/groupcard
fansnap,https://www.crunchbase.com/organization/fansnap
pelago,https://www.crunchbase.com/organization/pelago
bestcontractors,https://www.crunchbase.com/organization/bestcontractors
blackstratus,https://www.crunchbase.com/organization/blackstratus
formspring,https://www.crunchbase.com/organization/formspring
reverbnation,https://www.crunchbase.com/organization/reverbnation
real girls media network,https://www.crunchbase.com/organization/real-girls-media-network-inc
whitewilly,https://www.crunchbase.com/organization/whitewilly
code42,https://www.crunchbase.com/organization/code-42-software
vringo,https://www.crunchbase.com/organization/vringo
zooomr,https://www.crunchbase.com/organization/zooomr
carzen,https://www.crunchbase.com/organization/carzen
faves,https://www.crunchbase.com/organization/faves
curbed network,https://www.crunchbase.com/organization/curbed
cernium,https://www.crunchbase.com/organization/cernium
rebel monkey,https://www.crunchbase.com/organization/rebelmonkey
softricity,https://www.crunchbase.com/organization/softricity
whale communications,https://www.crunchbase.com/organization/whale-communications
clickshift,https://www.crunchbase.com/organization/clickshift
corank,https://www.crunchbase.com/organization/corank
